,Player,Salary,
214,Mike Scott,"$3,333,333 ",
215,Drew Gooden,"$3,300,000 ",
216,Andre Drummond,"$3,272,090 ",
217,Norris Cole,"$3,203,780 ",
218,Patrick Mills,"$3,200,000 ",
219,KJ McDaniels,"$3,189,794 ",
220,Ben McLemore,"$3,156,600 ",
221,Randy Foye,"$3,135,000 ",
222,Julius Randle,"$3,132,240 ",
223,Austin Rivers,"$3,110,796 ",
224,Emmanuel Mudiay,"$3,102,240 ",
225,Meyers Leonard,"$3,075,879 ",
226,Jeremy Lamb,"$3,034,356 ",
227,Jerryd Bayless,"$3,000,000 ",
227,Brandon Bass,"$3,000,000 ",
227,Anthony Tolliver,"$3,000,000 ",
227,DJ Augustin,"$3,000,000 ",
231,Toney Douglas,"$2,971,568 ",
232,John Henson,"$2,943,220 ",
233,Luis Scola,"$2,900,000 ",
234,Moe Harkless,"$2,894,058 ",
235,Kentavious Caldwell-Pope,"$2,891,760 ",
236,Kirk Hinrich,"$2,870,000 ",
237,Nik Stauskas,"$2,869,440 ",
238,Brian Roberts,"$2,854,940 ",
238,Udonis Haslem,"$2,854,940 ",
240,Dante Cunningham,"$2,850,000 ",
241,Stanley Johnson,"$2,841,960 ",
242,Omri Casspi,"$2,836,186 ",
243,Bismack Biyombo,"$2,814,000 ",
243,Manu Ginobili,"$2,814,000 ",
243,Sonny Weems,"$2,814,000 ",
243,Kevin Seraphin,"$2,814,000 ",
243,Darrell Arthur,"$2,814,000 ",
248,Tibor Pleiss,"$2,700,000 ",
249,Furkan Aldemir,"$2,683,841 ",
250,Trey Burke,"$2,658,240 ",
251,Noah Vonleh,"$2,637,720 ",
252,Tyler Zeller,"$2,616,975 ",
253,Frank Kaminsky,"$2,612,520 ",
254,CJ McCollum,"$2,525,160 ",
255,Elfrid Payton,"$2,505,720 ",
256,James Johnson,"$2,500,000 ",
256,Leandro Barbosa,"$2,500,000 ",
256,Joel Anthony,"$2,500,000 ",
259,Terrence Jones,"$2,489,529 ",
260,Justise Winslow,"$2,481,720 ",
261,Shelvin Mack,"$2,433,333 ",
262,Michael Carter-Williams,"$2,399,040 ",
263,Andrew Nicholson,"$2,380,593 ",
264,Doug McDermott,"$2,380,440 ",
265,Tony Wroten,"$2,346,760 ",
266,Jordan Farmar,"$2,291,455 ",
267,Evan Fournier,"$2,288,204 ",
268,Steven Adams,"$2,279,040 ",
269,Myles Turner,"$2,277,960 ",
270,Jared Sullinger,"$2,269,260 ",
271,Aaron Brooks,"$2,250,000 ",
272,Trey Lyles,"$2,239,800 ",
273,Ramon Sessions,"$2,170,465 ",
274,Kelly Olynyk,"$2,165,160 ",
275,Zach LaVine,"$2,148,360 ",
276,Kendall Marshall,"$2,144,772 ",
277,Gary Neal,"$2,139,000 ",
277,Jeremy Lin,"$2,139,000 ",
279,Miles Plumlee,"$2,109,293 ",
280,Joe Ingles,"$2,100,000 ",
280,Steve Blake,"$2,100,000 ",
280,Danny Granger,"$2,100,000 ",
280,Maurice Williams,"$2,100,000 ",
284,Beno Udrih,"$2,080,465 ",
285,Shabazz Muhammad,"$2,056,920 ",
286,Devin Booker,"$2,055,840 ",
287,TJ Warren,"$2,041,080 ",
288,Perry Jones,"$2,038,206 ",
289,Cameron Payne,"$2,021,520 ",
290,Festus Ezeli,"$2,008,748 ",
291,DeJuan Blair,"$2,000,000 ",
291,Kent Bazemore,"$2,000,000 ",
293,Giannis Antetokounmpo,"$1,953,960 ",
294,Adreian Payne,"$1,938,840 ",
295,Kelly Oubre,"$1,920,240 ",
296,Lucas Nogueira,"$1,842,000 ",
296,Jusuf Nurkic,"$1,842,000 ",
298,Terry Rozier,"$1,824,360 ",
299,Dennis Schroeder,"$1,763,400 ",
300,Zoran Dragic,"$1,756,500 ",
301,James Young,"$1,749,840 ",
302,Rashad Vaughn,"$1,733,040 ",
303,Ryan Kelly,"$1,724,250 ",
304,Joffrey Lauvergne,"$1,709,719 ",
305,Louis Amundson,"$1,700,000 ",
306,Tyler Ennis,"$1,662,360 ",
307,Sam Dekker,"$1,646,400 ",
308,Lance Thomas,"$1,636,842 ",
309,Sergey Karasev,"$1,599,840 ",
310,Gary Harris,"$1,587,480 ",
311,Jerian Grant,"$1,572,360 ",
312,Tony Snell,"$1,535,880 ",
313,Bruno Caboclo,"$1,524,000 ",
314,Delon Wright,"$1,509,360 ",
315,Wayne Ellington,"$1,500,000 ",
315,Shane Larkin,"$1,500,000 ",
317,David West,"$1,499,187 ",
317,Matt Bonner,"$1,499,187 ",
317,Rasual Butler,"$1,499,187 ",
317,Caron Butler,"$1,499,187 ",
317,Ronnie Price,"$1,499,187 ",
317,Kendrick Perkins,"$1,499,187 ",
317,Tayshaun Prince,"$1,499,187 ",
317,Amare Stoudemire,"$1,499,187 ",
317,Metta World Peace,"$1,499,187 ",
317,Jason Terry,"$1,499,187 ",
317,Samuel Dalembert,"$1,499,187 ",
317,Charlie Villanueva,"$1,499,187 ",
317,Richard Jefferson,"$1,499,187 ",
317,James Jones,"$1,499,187 ",
331,Andre Miller,"$1,490,369 ",
332,Gorgui Dieng,"$1,474,440 ",
333,Mitch McGary,"$1,463,040 ",
334,Justin Anderson,"$1,449,000 ",
335,Marcus Thornton,"$1,436,891 ",
336,Pablo Prigioni,"$1,421,348 ",
337,Mason Plumlee,"$1,415,520 ",
338,Jordan Adams,"$1,404,600 ",
339,Gerald Green,"$1,362,897 ",
339,Andrea Bargnani,"$1,362,897 ",
341,Solomon Hill,"$1,358,880 ",
342,Sasha Vujacic,"$1,356,146 ",
342,Aaron Gray,"$1,356,146 ",
344,Rodney Hood,"$1,348,440 ",
345,Matthew Dellavedova,"$1,347,276 ",
346,Bobby Portis,"$1,344,120 ",
347,Rondae Hollis-Jefferson,"$1,335,480 ",
348,Alonzo Gee,"$1,320,000 ",
349,Tim Hardaway Jr,"$1,304,520 ",
350,Nikola Jokic,"$1,300,000 ",
351,Shabazz Napier,"$1,294,440 ",
352,Tyus Jones,"$1,282,080 ",
353,Sasha Kaun,"$1,276,000 ",
354,Luc Mbah a Moute,"$1,270,964 ",
354,Brandon Rush,"$1,270,964 ",
354,Cartier Martin,"$1,270,964 ",
357,Reggie Bullock,"$1,252,400 ",
358,Clint Capela,"$1,242,720 ",
359,Jarell Martin,"$1,230,840 ",
360,Andre Roberson,"$1,210,800 ",
361,PJ Hairston,"$1,201,440 ",
362,Boban Marjanovic,"$1,200,000 ",
363,Jeremy Evans,"$1,185,784 ",
363,Tyler Hansbrough,"$1,185,784 ",
365,Rudy Gobert,"$1,175,880 ",
366,Jordan Mickey,"$1,170,960 ",
367,Archie Goodwin,"$1,160,160 ",
368,CJ Wilcox,"$1,159,680 ",
369,Larry Nance Jr,"$1,155,600 ",
370,Chris Copeland,"$1,150,000 ",
371,Damjan Rudez,"$1,149,500 ",
372,RJ Hunter,"$1,148,640 ",
373,Kyle Anderson,"$1,142,880 ",
374,Josh Huestis,"$1,140,240 ",
374,Chris McCullough,"$1,140,240 ",
376,Kevon Looney,"$1,131,960 ",
377,JaKarr Sampson,"$1,103,547 ",
378,Garrett Temple,"$1,100,602 ",
378,Ishmael Smith,"$1,100,602 ",
378,Luke Babbitt,"$1,100,602 ",
378,Wesley Johnson,"$1,100,602 ",
378,Cole Aldrich,"$1,100,602 ",
383,Glenn Robinson III,"$1,100,000 ",
384,Ray McCallum,"$1,076,758 ",
385,Richaun Holmes,"$1,075,000 ",
386,Jared Cunningham,"$1,039,074 ",
387,Jon Leuer,"$1,035,000 ",
388,James Anderson,"$1,015,421 ",
